210
659

1    21   202.28
1    23   296.36
2     1   205.24
2    13   132.29
2    23   198.66
3     2   115.42
3     4    90.35
4    14   108.24
4    15   151.41
5     4   122.50
5     6    94.74
5    15   102.08
6     5    94.74
6     7   116.85
6    16   102.19
7     6   116.85
8     7   103.51
8     9   106.30
8    17   106.93
9    18   130.84
0     9    97.43
0    11   120.79
1    10   120.79
1    12   101.07
1    20    92.61
2    20   133.91
2    33   194.01
3     2   132.29
3     3   108.25
3    24   101.07
3    25   132.74
4    15   106.12
4    25    87.20
5     5   102.08
5    14   106.12
5    26   107.06
5    27   142.13
6     6   102.19
6    15    89.27
6    27   111.76
7    18   101.79
7    29   108.15
8     8   144.37
8     9   130.84
8    19   112.31
8    30    89.98
8    31   136.56
9    10    75.28
9    31   106.07
0    10   142.07
0    31   151.35
0    32   120.00
0    33   144.45
1     1   202.28
1    22   105.23
2    21   105.23
2    23   106.18
2    34    90.09
3     1   296.36
3    22   106.18
3    24   109.98
3    34   131.55
3    35   154.46
3    46   228.96
4    23   109.98
5    13   132.74
5    14    87.20
5    24    86.35
5    26   123.84
5    35   147.95
5    36   134.10
5    37   157.44
6    25   123.84
6    37    86.38
7    15   142.13
7    16   111.76
7    26   103.51
7    28   112.54
7    38   121.54
7    39   149.93
8     7   199.12
8    39   107.11
9    17   108.15
9    28    94.89
9    30    96.02
9    40   109.61
0    18    89.98
0    31   115.62
1    18   136.56
1    19   106.07
1    20   151.35
1    30   115.62
1    32   106.55
1    42   143.68
1    51   302.96
2    31   106.55
3    12   194.01
3    20   144.45
3    32    94.77
3    42   131.59
3    43   107.16
4    22    90.09
4    44   168.81
4    45   117.47
5    23   154.46
5    46   161.12
5    47   164.17
6    25   134.10
6    37   116.83
7    25   157.44
7    26    86.38
7    38    96.33
7    48   101.85
7    49   149.52
8    27   121.54
8    39   117.57
8    49    85.35
9    27   149.93
9    28   107.11
9    40    88.85
0    29   109.61
0    39    88.85
0    51    95.05
1    31   128.33
1    53    93.39
2    31   143.68
2    32    92.04
2    41   102.31
2    43   107.92
2    53   162.71
2    54   130.22
2    55   170.52
3    33   107.16
3    42   107.92
4    21   216.24
4    66   222.20
5    44   126.19
5    46    85.62
5    56   107.43
6    45    85.62
6    47   220.43
6    57   110.22
6    58   144.58
7    35   164.17
7    36   103.00
7    46   220.43
7    59   103.84
8    47    81.29
9    38    85.35
9    48   127.09
9    50    96.62
9    61   114.69
9    62   149.54
0    39   105.75
0    49    96.62
1    31   302.96
1    39   133.96
1    40    95.05
1    50    90.99
2    51   116.41
3    41    93.39
3    42   162.71
3    52   106.33
3    54   109.06
3    63   142.12
4    55   115.68
5    42   170.52
5    43   128.85
6    45   107.43
6    46   137.13
6    66   155.19
6    67   101.00
7    58   101.98
8    57   101.98
8    70   163.37
9    47   103.84
9    58   118.94
9    60    96.09
9    70   104.36
0    48   118.32
0    59    96.09
0    71   119.92
1    49   114.69
1    60   107.02
2    49   149.54
2    50   102.97
2    73   103.77
2    74   148.72
3    52    90.71
3    74   154.43
3    75   128.37
4    53   110.00
4    65   213.68
4    76   101.97
5    55    87.37
5    64   213.68
5    78   119.34
6    44   222.20
6    56   155.19
6    67   117.12
6    80   149.47
7    56   101.00
7    66   117.12
7    68   107.58
7    80   106.49
8    57    89.32
8    67   107.58
